Table,Field,Type,Key,Nullable,Default,Comment,References
DeviceTags,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; tag creation time.",
DeviceTags,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last tag update.",
DeviceTags,slug,CITEXT,UQ,FALSE,,"Case-insensitive text; unique label slug for automation.",
DeviceTags,name,String(100),,FALSE,,"String; display name of the tag.",
DeviceTags,description,Text,,TRUE,,"Long text; describes when to apply the tag.",
DeviceTags,color,String(16),,TRUE,,"String; hex or named color for UI highlighting.",
DeviceTags,attributes,JSONB,,FALSE,{},"JSON object; arbitrary metadata associated with the tag.",
DeviceTags,is_protected,Boolean,,FALSE,False,"Boolean flag; prevents deletion of essential tags.",
DeviceTagAssignments,id,Integer,PK,FALSE,,"Integer identifier; primary key for tag assignment entry.",
DeviceTagAssignments,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the tag assignment.",
DeviceTagAssignments,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; assignment creation time.",
DeviceTagAssignments,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last assignment update.",
DeviceTagAssignments,device_id,Integer,FK,FALSE,,"Integer foreign key; device receiving the tag.",Devices.id
DeviceTagAssignments,tag_id,Integer,FK,FALSE,,"Integer foreign key; tag applied to the device.",DeviceTags.id
DeviceTagAssignments,job_id,Integer,FK,TRUE,,"Integer foreign key; job responsible for the assignment.",Jobs.id
DeviceTagAssignments,applied_by_id,Integer,FK,TRUE,,"Integer foreign key; user who applied the tag.",Users.id
DeviceTagAssignments,source,CITEXT,,TRUE,,"Case-insensitive text; origin of the tagging action such as api or sync.",
DeviceTagAssignments,notes,Text,,TRUE,,"Long text; explanation of the tagging change.",
DeviceTagAssignments,attributes,JSONB,,FALSE,{},"JSON object; supplemental metadata about the assignment.",
DeviceHealthSnapshots,id,Integer,PK,FALSE,,"Integer identifier; primary key for device health snapshot.",
DeviceHealthSnapshots,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the health snapshot.",
DeviceHealthSnapshots,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; health record creation time.",
DeviceHealthSnapshots,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last health record update.",
DeviceHealthSnapshots,device_id,Integer,FK,FALSE,,"Integer foreign key; monitored device reference.",Devices.id
DeviceHealthSnapshots,observed_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; when telemetry was observed.",
DeviceHealthSnapshots,status,CITEXT,,FALSE,unknown,"Case-insensitive text; consolidated health status label.",
DeviceHealthSnapshots,summary,Text,,TRUE,,"Long text; narrative summary of health findings.",
DeviceHealthSnapshots,metrics,JSONB,,FALSE,{},"JSON object; numeric telemetry metrics captured.",
DeviceHealthSnapshots,checks,JSONB,,FALSE,{},"JSON object; results of individual health checks.",
DeviceHealthSnapshots,latency_ms,Float,,FALSE,0.0,"Float; measured latency in milliseconds.",
DeviceHealthSnapshots,availability_percent,Float,,FALSE,0.0,"Float; calculated availability percentage.",
DeviceHealthSnapshots,job_id,Integer,FK,TRUE,,"Integer foreign key; job run associated with the snapshot.",Jobs.id
DeviceHealthSnapshots,job_task_id,Integer,FK,TRUE,,"Integer foreign key; specific job task producing the data.",JobTasks.id
DeviceProbeTemplates,id,Integer,PK,FALSE,,"Integer identifier; primary key for probe template.",
DeviceProbeTemplates,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the probe template.",
DeviceProbeTemplates,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; template creation time.",
DeviceProbeTemplates,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last template update.",
DeviceProbeTemplates,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; when the template was disabled for scheduling.",
DeviceProbeTemplates,slug,CITEXT,UQ,FALSE,,"Case-insensitive text; unique slug for referencing the template.",
DeviceProbeTemplates,name,String(120),,FALSE,,"String; descriptive name for the probe.",
DeviceProbeTemplates,probe_type,CITEXT,,FALSE,,"Case-insensitive text; type of probe such as ping or api.",
DeviceProbeTemplates,description,Text,,TRUE,,"Long text; explains probe intent and usage.",
DeviceProbeTemplates,timeout_seconds,Integer,,FALSE,30,"Integer; maximum time to wait for probe completion.",
DeviceProbeTemplates,config,JSONB,,FALSE,{},"JSON object; configuration payload sent to probe runner.",
DeviceProbeTemplates,expected_outcome,JSONB,,FALSE,{},"JSON object; success criteria or assertions for the probe.",
DeviceProbeExecutions,id,Integer,PK,FALSE,,"Integer identifier; primary key for probe execution.",
DeviceProbeExecutions,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the probe execution.",
DeviceProbeExecutions,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; execution record creation time.",
DeviceProbeExecutions,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last execution update.",
DeviceProbeExecutions,device_id,Integer,FK,FALSE,,"Integer foreign key; device targeted by the probe.",Devices.id
DeviceProbeExecutions,job_id,Integer,FK,TRUE,,"Integer foreign key; job that scheduled the probe.",Jobs.id
DeviceProbeExecutions,job_task_id,Integer,FK,TRUE,,"Integer foreign key; job task executing the probe.",JobTasks.id
DeviceProbeExecutions,template_id,Integer,FK,TRUE,,"Integer foreign key; template describing the probe behavior.",DeviceProbeTemplates.id
DeviceProbeExecutions,probe_type,CITEXT,,FALSE,,"Case-insensitive text; probe classification recorded for history.",
DeviceProbeExecutions,status,CITEXT,,FALSE,pending,"Case-insensitive text; lifecycle state of the execution.",
DeviceProbeExecutions,started_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when execution began running.",
DeviceProbeExecutions,completed_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when execution completed.",
DeviceProbeExecutions,latency_ms,Float,,FALSE,0.0,"Float; duration of the probe in milliseconds.",
DeviceProbeExecutions,is_success,Boolean,,FALSE,False,"Boolean flag; indicates the probe met expected outcome.",
DeviceProbeExecutions,response,JSONB,,FALSE,{},"JSON object; primary response payload captured.",
DeviceProbeExecutions,diagnostics,JSONB,,FALSE,{},"JSON object; supplemental diagnostic data for troubleshooting.",
DeviceProbeExecutions,error,JSONB,,FALSE,{},"JSON object; structured error information when probes fail.",
HardwareLifecycle,id,Integer,PK,FALSE,,"Integer identifier; primary key for hardware lifecycle entry.",
HardwareLifecycle,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the lifecycle record.",
HardwareLifecycle,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; lifecycle entry creation time.",
HardwareLifecycle,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last lifecycle update.",
HardwareLifecycle,product_model_id,Integer,FK,FALSE,,"Integer foreign key; product model the milestones apply to.",ProductModels.id
HardwareLifecycle,end_of_sale_date,DateTime,,TRUE,,"Naive timestamp; vendor announced end-of-sale milestone.",
HardwareLifecycle,end_of_software_maintenance_date,DateTime,,TRUE,,"Naive timestamp; last date for maintenance software releases.",
HardwareLifecycle,end_of_security_fixes_date,DateTime,,TRUE,,"Naive timestamp; final availability of security patches.",
HardwareLifecycle,last_day_of_support_date,DateTime,,TRUE,,"Naive timestamp; final vendor support availability.",
HardwareLifecycle,source_url,String,,TRUE,,"String; vendor documentation link supporting the milestone.",
HardwareLifecycle,notes,Text,,TRUE,,"Long text; operator commentary about lifecycle dates.",
SoftwareLifecycle,id,Integer,PK,FALSE,,"Integer identifier; primary key for software lifecycle entry.",
SoftwareLifecycle,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for software lifecycle.",
SoftwareLifecycle,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; lifecycle row creation time.",
SoftwareLifecycle,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last lifecycle update.",
SoftwareLifecycle,platform_id,Integer,FK,TRUE,,"Integer foreign key; automation platform the rule targets.",Platforms.id
SoftwareLifecycle,os_name,CITEXT,,FALSE,,"Case-insensitive text; network OS family name.",
SoftwareLifecycle,match_value,String,,FALSE,,"String; version pattern evaluated against device OS.",
SoftwareLifecycle,match_operator,CITEXT,,FALSE,eq,"Case-insensitive text; comparison operator such as eq or prefix.",
SoftwareLifecycle,end_of_software_maintenance_date,DateTime,,TRUE,,"Naive timestamp; last date for maintenance releases.",
SoftwareLifecycle,end_of_security_fixes_date,DateTime,,TRUE,,"Naive timestamp; final security patch availability.",
SoftwareLifecycle,last_day_of_support_date,DateTime,,TRUE,,"Naive timestamp; vendor support end date.",
SoftwareLifecycle,end_of_sale_date,DateTime,,TRUE,,"Naive timestamp; end of sale for the software version.",
SoftwareLifecycle,source_url,String,,TRUE,,"String; documentation link for lifecycle data.",
SoftwareLifecycle,notes,Text,,TRUE,,"Long text; operator notes regarding lifecycle impacts.",
RequestLogs,id,Integer,PK,FALSE,,"Integer identifier; primary key for HTTP request log.",
RequestLogs,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the request log entry.",
RequestLogs,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; log row creation time.",
RequestLogs,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last log update (rare).",
RequestLogs,correlation_id,String(36),,FALSE,,"String; trace identifier linking related request events.",
RequestLogs,user_id,Integer,FK,TRUE,,"Integer foreign key; authenticated user making the request.",Users.id
RequestLogs,method,String(10),,FALSE,,"String; HTTP method such as GET or POST.",
RequestLogs,path,String,,FALSE,,"String; request path captured for analytics.",
RequestLogs,route,String,,TRUE,,"String; matched Flask route name when available.",
RequestLogs,blueprint,String,,TRUE,,"String; Flask blueprint handling the request.",
RequestLogs,status_code,Integer,,FALSE,,"Integer; HTTP response status code returned.",
RequestLogs,ip,String(64),,TRUE,,"String; client IP address observed.",
RequestLogs,user_agent,String,,TRUE,,"String; client user agent string.",
RequestLogs,request_bytes,Integer,,TRUE,,"Integer; size of request payload in bytes.",
RequestLogs,response_bytes,Integer,,TRUE,,"Integer; size of response payload in bytes.",
RequestLogs,auth_subject,String,,TRUE,,"String; authentication subject or principal processed.",
RequestLogs,device_id_hint,Integer,,TRUE,,"Integer; optional device identifier referenced by the request.",
RequestLogs,platform_id_hint,Integer,,TRUE,,"Integer; optional platform identifier referenced by the request.",
RequestLogs,occurred_at,DateTime(tz),,FALSE,datetime.now(timezone.utc),"Timezone-aware timestamp; when the request occurred.",
RequestLogs,latency_ms,Integer,,FALSE,0,"Integer; total request latency in milliseconds.",
RequestLogs,query_params,JSONB,,FALSE,{},"JSON object; parsed query parameters for auditing.",
RequestLogs,request_headers,JSONB,,FALSE,{},"JSON object; inbound HTTP headers captured.",
RequestLogs,response_headers,JSONB,,FALSE,{},"JSON object; outbound HTTP headers captured.",
ErrorLogs,id,Integer,PK,FALSE,,"Integer identifier; primary key for application error log.",
ErrorLogs,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the error entry.",
ErrorLogs,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; error log creation time.",
ErrorLogs,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last update of error record.",
ErrorLogs,correlation_id,String(36),,FALSE,,"String; trace identifier linking to request logs or jobs.",
ErrorLogs,level,CITEXT,,FALSE,,"Case-insensitive text; severity of the error such as ERROR.",
ErrorLogs,message,Text,,FALSE,,"Long text; error message captured for troubleshooting.",
ErrorLogs,traceback,Text,,TRUE,,"Long text; Python traceback when available.",
ErrorLogs,request_log_id,Integer,FK,TRUE,,"Integer foreign key; related HTTP request log entry.",RequestLogs.id
ErrorLogs,user_id,Integer,FK,TRUE,,"Integer foreign key; user affected by the error if known.",Users.id
ErrorLogs,occurred_at,DateTime(tz),,FALSE,datetime.now(timezone.utc),"Timezone-aware timestamp; when the error occurred.",
ErrorLogs,context,JSONB,,FALSE,{},"JSON object; structured context for debugging.",
AppEvents,id,Integer,PK,FALSE,,"Integer identifier; primary key for application event log.",
AppEvents,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the event entry.",
AppEvents,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; event row creation time.",
AppEvents,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last event update.",
AppEvents,event,CITEXT,,FALSE,,"Case-insensitive text; event type or code.",
AppEvents,message,Text,,TRUE,,"Long text; descriptive message for the event.",
AppEvents,occurred_at,DateTime(tz),,FALSE,datetime.now(timezone.utc),"Timezone-aware timestamp; when the event occurred.",
AppEvents,level,CITEXT,,FALSE,INFO,"Case-insensitive text; event severity level.",
AppEvents,extra,JSONB,,FALSE,{},"JSON object; supplemental data related to the event.",
AuditLogEntries,id,Integer,PK,FALSE,,"Integer identifier; primary key for audit log entry.",
AuditLogEntries,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the audit entry.",
AuditLogEntries,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; audit record creation time.",
AuditLogEntries,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last audit record update.",
AuditLogEntries,actor_type,CITEXT,,TRUE,,"Case-insensitive text; category of actor initiating the change.",
AuditLogEntries,actor_display_name,String(255),,TRUE,,"String; friendly name of the actor for reporting.",
AuditLogEntries,action,CITEXT,,FALSE,,"Case-insensitive text; action performed such as update or delete.",
AuditLogEntries,target_type,CITEXT,,FALSE,,"Case-insensitive text; resource type impacted by the action.",
AuditLogEntries,target_uuid,String(36),,TRUE,,"String; UUID of the target entity when available.",
AuditLogEntries,target_repr,String,,TRUE,,"String; human-readable representation of the target.",
AuditLogEntries,request_id,String(64),,TRUE,,"String; correlation identifier for the request or workflow.",
AuditLogEntries,ip_address,String(64),,TRUE,,"String; source IP address for the actor.",
AuditLogEntries,user_agent,String,,TRUE,,"String; client user agent recorded for auditing.",
AuditLogEntries,actor_id,Integer,FK,TRUE,,"Integer foreign key; user who initiated the action.",Users.id
AuditLogEntries,target_id,Integer,,TRUE,,"Integer; database identifier of the target when relevant.",
AuditLogEntries,job_id,Integer,FK,TRUE,,"Integer foreign key; job associated with the change.",Jobs.id
AuditLogEntries,occurred_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; when the audited action happened.",
AuditLogEntries,payload,JSONB,,FALSE,{},"JSON object; before/after details of the change.",
AuditLogEntries,message,Text,,TRUE,,"Long text; human-readable summary of the audit event.",
PlatformOperationTemplates,id,Integer,PK,FALSE,,"Integer identifier; primary key for platform operation template.",
PlatformOperationTemplates,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the operation template.",
PlatformOperationTemplates,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; template creation time.",
PlatformOperationTemplates,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last template update.",
PlatformOperationTemplates,platform_id,Integer,FK,FALSE,,"Integer foreign key; automation platform this template targets.",Platforms.id
PlatformOperationTemplates,name,String,,FALSE,,"String; display name for the operation template.",
PlatformOperationTemplates,description,Text,,TRUE,,"Long text; explains what the operation performs.",
PlatformOperationTemplates,op_type,CITEXT,,FALSE,,"Case-insensitive text; category of operation like backup.",
PlatformOperationTemplates,template,Text,,FALSE,,"Long text; execution template body or script.",
PlatformOperationTemplates,notes,Text,,TRUE,,"Long text; guidance for using the operation template.",
PlatformOperationTemplates,variables,JSONB,,FALSE,{},"JSON object; schema of expected variables for the template.",
Jobs,id,Integer,PK,FALSE,,"Integer identifier; primary key for job orchestration entry.",
Jobs,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the job.",
Jobs,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; job record creation time.",
Jobs,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last job update.",
Jobs,owner_id,Integer,FK,TRUE,,"Integer foreign key; user who owns or initiated the job.",Users.id
Jobs,name,String(255),,TRUE,,"String; friendly job name assigned by operators.",
Jobs,job_type,CITEXT,,FALSE,,"Case-insensitive text; classification of job purpose.",
Jobs,status_detail,Text,,TRUE,,"Long text; additional narrative about job state.",
Jobs,queue,CITEXT,,TRUE,,"Case-insensitive text; execution queue name for scheduling.",
Jobs,status,CITEXT,,FALSE,pending,"Case-insensitive text; lifecycle state of the job.",
Jobs,priority,Integer,,FALSE,5,"Integer; scheduling priority (lower numbers run sooner).",
Jobs,idempotency_key,String(64),UQ,TRUE,,"String; ensures duplicate job submissions collapse.",
Jobs,scheduled_for,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when job should begin.",
Jobs,started_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when execution started.",
Jobs,finished_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when execution finished.",
Jobs,last_heartbeat_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; last worker heartbeat for monitoring.",
Jobs,progress_total,Integer,,FALSE,0,"Integer; total work units planned for the job.",
Jobs,progress_completed,Integer,,FALSE,0,"Integer; work units completed so far.",
Jobs,parameters,JSONB,,FALSE,{},"JSON object; user-supplied parameters driving execution.",
Jobs,result,JSONB,,FALSE,{},"JSON object; final result payload for downstream systems.",
Jobs,error,JSONB,,FALSE,{},"JSON object; structured error details on failure.",
Jobs,run_as_internal,Boolean,,FALSE,False,"Boolean flag; indicates internal service-owned job.",
Jobs,operation_template_id,Integer,FK,TRUE,,"Integer foreign key; template guiding the job actions.",PlatformOperationTemplates.id
JobEvents,id,Integer,PK,FALSE,,"Integer identifier; primary key for job event entry.",
JobEvents,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the job event.",
JobEvents,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; job event creation time.",
JobEvents,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last job event update.",
JobEvents,job_id,Integer,FK,FALSE,,"Integer foreign key; job this event belongs to.",Jobs.id
JobEvents,event_type,CITEXT,,FALSE,,"Case-insensitive text; type of job event such as log or status.",
JobEvents,message,Text,,TRUE,,"Long text; event narrative for operators.",
JobEvents,context,JSONB,,FALSE,{},"JSON object; structured context payload for the event.",
JobEvents,occurred_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; when the event happened.",
JobTasks,id,Integer,PK,FALSE,,"Integer identifier; primary key for job task.",
JobTasks,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the job task.",
JobTasks,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; job task creation time.",
JobTasks,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last job task update.",
JobTasks,job_id,Integer,FK,FALSE,,"Integer foreign key; parent job for the task.",Jobs.id
JobTasks,task_type,CITEXT,,FALSE,,"Case-insensitive text; task implementation identifier.",
JobTasks,sequence,Integer,,FALSE,0,"Integer; execution order of the task within the job.",
JobTasks,status,CITEXT,,FALSE,pending,"Case-insensitive text; current task state.",
JobTasks,target_type,CITEXT,,TRUE,,"Case-insensitive text; resource category the task operates on.",
JobTasks,target_id,Integer,,TRUE,,"Integer; identifier of the specific resource targeted.",
JobTasks,device_id,Integer,FK,TRUE,,"Integer foreign key; device the task interacts with.",Devices.id
JobTasks,group_id,Integer,FK,TRUE,,"Integer foreign key; inventory group the task references.",InventoryGroups.id
JobTasks,started_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when the task began running.",
JobTasks,finished_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when the task completed.",
JobTasks,last_error_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; most recent failure occurrence.",
JobTasks,attempt_count,Integer,,FALSE,0,"Integer; number of attempts performed so far.",
JobTasks,max_attempts,Integer,,FALSE,1,"Integer; maximum retries allowed for the task.",
JobTasks,progress_total,Integer,,FALSE,0,"Integer; work units allocated to this task.",
JobTasks,progress_completed,Integer,,FALSE,0,"Integer; work units completed for the task.",
JobTasks,idempotency_key,String(64),,TRUE,,"String; used to avoid duplicating task execution.",
JobTasks,parameters,JSONB,,FALSE,{},"JSON object; task-specific input parameters.",
JobTasks,result,JSONB,,FALSE,{},"JSON object; task output payload for downstream consumers.",
JobTasks,error,JSONB,,FALSE,{},"JSON object; structured error details if the task fails.",
